name	RS	TAX	
Cacao swollen shoot Ghana N virus	NC_040622	2056884	
Sugarcane bacilliform MO virus	NC_008017	362399	
Banana streak OL virus	NC_003381	328671	
Dioscorea bacilliform RT virus 2	NC_038987	2011125	
Cacao swollen shoot Ghana Q virus	NC_043535	2056885	
Banana streak UA virus	NC_015502	1016854	
Cacao swollen shoot virus [GN:T40218]	NC_001574	31559	
Banana streak UL virus	NC_015504	1016856	
Fig badnavirus 1	NC_017830	1034096	
Cacao swollen shoot Ghana M virus	NC_043534	2056883	
Sugarcane bacilliform IM virus	NC_003031	362398	
Banana streak MY virus	NC_006955	1476909	
Banana streak VN virus	NC_007003	1411991	
Commelina yellow mottle virus	NC_001343	10653	
Dracaena mottle virus	NC_008034	380669	
Epiphyllum badnavirus 1	NC_076247	2518008	
Ivy ringspot-associated virus	NC_055604	2731270	
Piper yellow mottle virus	NC_022365	262957	
Yacon necrotic mottle virus	NC_026472	1561150	
Spiraea yellow leafspot virus	NC_043104	157271	
Aucuba ringspot virus	NC_076606	2599303	
Chinaberry tree badnavirus 1	NC_077165	2908099	
Mulberry badnavirus 1	NC_026020	1227557	
Cycad leaf necrosis virus	NC_011097	549205	
Sweet potato pakakuy virus	NC_015655	2034762	
Blackberry virus F	NC_029303	2560349	
Rubus yellow net virus [GN:T40304]	NC_026238	198310	
Camellia lemon glow virus	NC_055598	2697535	
Chestnut mosaic virus	NC_076885	2781948	
Citrus yellow mosaic virus	NC_003382	174178	
Polyscias mosaic virus	NC_055562	2528410	
Pagoda yellow mosaic associated virus	NC_024301	1505530	
Cacao mild mosaic virus	NC_033738	1940252	
Jujube mosaic-associated virus	NC_035472	2020956	
Dioscorea bacilliform TR virus	NC_038995	2169728	
Cacao bacilliform Sri Lanka virus	NC_040809	2056878	
Banana streak UM virus	NC_015505	1016857	
Bougainvillea chlorotic vein banding virus	NC_011592	263892	
Codonopsis vein clearing virus	NC_076023	2510980	
Gooseberry vein banding associated virus	NC_018105	157270	
Cacao yellow vein banding virus	NC_033739	2169726	
Grapevine vein clearing virus	NC_015784	1050407	
Green Sichuan pepper vein clearing-associated virus	NC_076349	2802539	
Grapevine badnavirus 1	NC_055481	2052838	
Birch leaf roll-associated virus	NC_040635	2057979	
Wisteria badnavirus 1	NC_034252	1973265	
Cacao swollen shoot Togo A virus	NC_038379,NC_076048	1960254	
Banana streak UI virus	NC_015503	1016855	
Banana streak virus Acuminata Yunnan	NC_008018	334778	
Dioscorea bacilliform RT virus	NC_076205	1874738	
Lamium leaf distortion virus	NC_010737	515320	
Soybean Putnam virus	NC_018505	1221449	
Carnation etched ring virus [GN:T40245]	NC_003498	10640	
Horseradish latent virus	NC_018858	264076	
Atractylodes mild mottle virus	NC_027924	1711685	
Metaplexis yellow mottle-associated virus	NC_077108	2878269	
Angelica bushy stunt virus	NC_043523	1808970	
Cauliflower mosaic virus [GN:T40223]	NC_001497	10641	
Dahlia mosaic virus	NC_018616	213888	
Mirabilis mosaic virus	NC_004036	194445	
Figwort mosaic virus	NC_003554	10649	
Strawberry vein banding virus [GN:T40232]	NC_001725	47903	
Sweet potato collusive virus	NC_015328	930168	
Epiphyllum virus 4	NC_055588	2713640	
Cassava vein mosaic virus [GN:T40253]	NC_001648	38062	
Dioscorea nummularia-associated virus	NC_040712	2303485	
Petunia vein clearing virus	NC_001839	59504	
Rose yellow vein virus	NC_020999	1213588	
Rudbeckia flower distortion virus	NC_011920	587370	
Sweet potato vein clearing virus	NC_015228	995049	
Tobacco vein clearing virus	NC_003378	107324	
Cestrum yellow leaf curling virus	NC_004324	175814	
Water chestnut soymovirus 1	NC_030205	1848040	
Soybean chlorotic mottle virus [GN:T40228]	NC_001739	10651	
Blueberry red ringspot virus	NC_003138	172220	
Peanut chlorotic streak virus	NC_001634	35593	
Agapanthus tungrovirus	NC_077070	2838078	
Rice tungro bacilliform virus [GN:T40207]	NC_001914	10654	
Trichoplusia ni TED virus	NC_038512	2083181	
Cladosporium fulvum T-1 virus	NC_043491	2052899	
UR2 sarcoma virus	NC_001618	354090	
Y73 sarcoma virus	NC_008094	11884	
Fujinami sarcoma virus	NC_001403	11885	
Avian leukemia virus	NC_015116	11946	
Avian leukosis virus - RSA	NC_001408	363745	
Avian myeloblastosis virus	NC_043404	11866	
Rous sarcoma virus	NC_001407	11886	
Avian sarcoma virus CT10	NC_038922	11878	
Endogenous langur type D retrovirus PO-1-Lu	NC_043193	240594	
Mason-Pfizer monkey virus	NC_001550	11855	
Mouse mammary tumor virus	NC_001503	11757	
Jaagsiekte sheep retrovirus	NC_001494	11746	
Squirrel monkey retrovirus	NC_001514	11856	
Bovine leukemia virus	NC_001414	11901	
Human T-cell leukemia virus type I [GN:T40003]	NC_001436	11908	
Primate T-lymphotropic virus 1	NC_000858	194440	
Human T-lymphotropic virus 2	NC_001488	11909	
Simian T-lymphotropic virus 2	NC_001815	33748	
Primate T-lymphotropic virus 3	NC_003323	194443	
Simian T-cell lymphotropic virus 6	NC_011546	481147	
Walleye dermal sarcoma virus	NC_001867	39720	
Walleye epidermal hyperplasia virus 1	NC_043194	64462	
Walleye epidermal hyperplasia virus 2	NC_043195	64461	
Baboon endogenous virus strain M7	NC_022517	11764	
Harvey murine sarcoma virus	NC_038668	11807	
Kirsten murine sarcoma virus	NC_043426	11808	
Reticuloendotheliosis virus	NC_006934	11636	
Chick syncytial virus	NC_043196	353768	
Feline leukemia virus	NC_001940	11768	
Finkel-Biskis-Jinkins murine sarcoma virus	NC_038858	353765	
Gibbon ape leukemia virus	NC_001885	11840	
Feline sarcoma virus (STRAIN HARDY-ZUCKERMAN 4)	NC_038923	11777	
Koala retrovirus	NC_039228	394239	
Moloney murine sarcoma virus	NC_001502	11809	
Friend murine leukemia virus	NC_001362	11795	
Moloney murine leukemia virus	NC_001501	11801	
Murine type C retrovirus	NC_001702	44561	
Woolly monkey sarcoma virus	NC_009424	11970	
PreXMRV-1	NC_007815	1038068	
Bovine immunodeficiency virus	NC_001413	11657	
Jembrana disease virus	NC_001654	36370	
Caprine arthritis encephalitis virus	NC_001463	11660	
Feline immunodeficiency virus	NC_001482	11673	
Human immunodeficiency virus 1 [GN:T40001]	NC_001802	11676	
Human immunodeficiency virus 2 [GN:T40002]	NC_001722	11709	
Visna-maedi virus	NC_001452	2169971	
Puma lentivirus 14	NC_038669	32615	
Simian immunodeficiency virus	NC_001549	11723	
Simian immunodeficiency virus SIV-mnd 2	NC_004455	159122	
Bovine foamy virus	NC_001831	207343	
Equine foamy virus	NC_002201	109270	
Feline foamy virus	NC_039242	53182	
Brown greater galago prosimian foamy virus	NC_039023	2170139	
Spider monkey simian foamy virus	NC_039027	2170200	
White-tufted-ear marmoset simian foamy virus	NC_039030	2170205	
Guenon simian foamy virus	NC_043445	2170197	
African green monkey simian foamy virus	NC_010820	338079	
Western lowland gorilla simian foamy virus	NC_039029	2170204	
Japanese macaque simian foamy virus	NC_039026	2170198	
Rhesus macaque simian foamy virus	NC_039238	2170199	
Eastern chimpanzee simian foamy virus	NC_039025	2170195	
Simian foamy virus	NC_075434	11642	
Central chimpanzee simian foamy virus	NC_039024	2170194	
Western chimpanzee simian foamy virus	NC_001364	2170203	
Simian foamy virus Pongo pygmaeus pygmaeus	NC_039085	221703	
Squirrel monkey simian foamy virus	NC_039028	2170201	
Yellow-breasted capuchin simian foamy virus	NC_039031	2170206	
Human endogenous retrovirus K113	NC_022518	166122	
Botrytis porri botybirnavirus 1	NC_017990,NC_017991	1918014	
Sclerotinia sclerotiorum botybirnavirus 1	NC_027138,NC_027139	1654339	
Anthurium mosaic-associated virus	NC_043676,NC_043677,NC_043678	664255	
Brassica campestris chrysovirus 1	NC_043659,NC_043660,NC_043661	1692191	
Chrysothrix chrysovirus 1	NC_055654,NC_055655,NC_055656,NC_055657	2682569	
Colletotrichum gloeosporioides chrysovirus 1	NC_043666,NC_043667,NC_043668	1766766	
Cryphonectria nitschkei chrysovirus 1	NC_038778,NC_038779,NC_038780,NC_038781	399394	
Fusarium oxysporum chrysovirus 1	NC_043218,NC_043219	434898	
Helminthosporium victoriae virus 145S	NC_005978,NC_005979,NC_005980,NC_005981	2560520	
Isaria javanica chrysovirus 1	NC_033277,NC_033278,NC_033317,NC_033318	1930960	
Macrophomina phaseolina chrysovirus 1	NC_043662,NC_043663,NC_043664,NC_043665	1708483	
Penicillium chrysogenum virus	NC_007539,NC_007540,NC_007541,NC_007542	158372	
Persea americana chrysovirus	NC_043506,NC_043507,NC_043508	1587509	
Raphanus sativus chrysovirus 1	NC_043656,NC_043657,NC_043658	1162393	
Salado virus	NC_078450,NC_078451,NC_078452	2689364	
Shuangao chryso-like virus 1	NC_055224,NC_055225,NC_055226,NC_055227	1923465	
Verticillium dahliae chrysovirus 1	NC_038782,NC_038783,NC_038784,NC_038785	759389	
Zea mays chrysovirus 1	NC_040509,NC_040510,NC_040511	2382121	
Alternaria alternata chrysovirus 1	NC_040736,NC_040737,NC_040738,NC_040739,NC_040740	2066695	
Botryosphaeria dothidea chrysovirus 1	NC_034268,NC_034269,NC_034270,NC_034271,NC_077817,NC_077818,NC_077819,NC_077820	1405299	
Colletotrichum fructicola chrysovirus 1	NC_040485,NC_040486,NC_040487,NC_040488,NC_040489,NC_040490,NC_040491	2304034	
Coniothyrium diplodiella chrysovirus 1	NC_055624,NC_055625,NC_055626,NC_055627	2587540	
Fusarium oxysporum f. sp. dianthi mycovirus 1	NC_027563,NC_027564,NC_027565,NC_027566	1679238	
Fusarium graminearum dsRNA mycovirus 2	NC_055219,NC_055220,NC_055221,NC_055222,NC_055223	254946	
Neofusicoccum parvum chrysovirus 1	NC_055628,NC_055629,NC_055630,NC_055631	2587541	
Penicillium janczewskii chrysovirus 1	NC_028495,NC_028496,NC_028497,NC_028500	1755792	
Penicillium janczewskii chrysovirus 2	NC_043669,NC_043670,NC_043671,NC_043672	1755793	
Fusarium poae dsRNA virus 3	NC_030202	1848169	
Fusarium graminearum dsRNA mycovirus 3	NC_013469	687917	
Trichoderma atroviride mycovirus	NC_033415	1934322	
Trichoderma asperellum dsRNA virus 1	NC_040828	2305250	
Botrytis cinerea RNA virus 1	NC_026139	1568973	
Phytophthora infestans RNA virus 3	NC_040307	1133557	
Fusarium poae dsRNA virus 2	NC_030201	1848042	
Rosellinia necatrix megabirnavirus 1/W779	NC_013462,NC_013463	658904	
Sclerotinia sclerotiorum megabirnavirus 1	NC_027221,NC_027222	1661257	
Ustilago maydis virus H1	NC_003823	28882	
Xanthophyllomyces dendrorhous virus L1B	NC_038699	1167691	
Red clover powdery mildew-associated totivirus 1	NC_028480	1714362	
Saccharomyces cerevisiae virus L-A	NC_003745	11008	
Red clover powdery mildew-associated totivirus 3	NC_028483	1714364	
Hubei toti-like virus 2	NC_032734	1923308	
Wuhan insect virus 26	NC_033465	1923730	
Red clover powdery mildew-associated totivirus 5	NC_028485	1714366	
Red clover powdery mildew-associated totivirus 6	NC_028486	1714367	
Beihai blue swimmer crab virus 3	NC_032465	1922370	
Red clover powdery mildew-associated totivirus 7	NC_028488	1714368	
Panax notoginseng virus A	NC_029096	1777016	
Panax notoginseng virus B	NC_040551	2248770	
Wuhan insect virus 27	NC_033468	1923731	
Red clover powdery mildew-associated totivirus 2	NC_028481	1714363	
Saccharomyces cerevisiae virus L-BC (La)	NC_001641	42478	
Scheffersomyces segobiensis virus L	NC_038697	1300323	
Tuber aestivum virus 1	NC_038698	927810	
Xanthophyllomyces dendrorhous virus L1A	NC_020903	1167690	
Maize-associated totivirus 1	NC_028044	1729670	
Thelephora terrestris virus 1	NC_028921	1770613	
Eimeria tenella RNA virus 1	NC_026140	1566868	
Leishmania RNA virus 1 - 1	NC_002063	58103	
Leishmania RNA virus 1 - 4	NC_003601	12530	
Leishmania RNA virus 2 - 1	NC_002064	39116	
Trichomonas vaginalis virus 1	NC_027701	674953	
Trichomonas vaginalis virus 4	NC_038700	1008292	
Trichomonas vaginalis virus 2	NC_003873	674954	
Trichomonas vaginalis virus 3	NC_004034	170965	
Coniothyrium minitans RNA virus	NC_007523	210827	
Epichloe festucae virus 1	NC_038930	382962	
Helminthosporium victoriae virus 190S	NC_003607	45237	
Magnaporthe oryzae virus 2	NC_010246	441999	
Rosellinia necatrix victorivirus 1	NC_021565	1148491	
Botryosphaeria dothidea victorivirus 1	NC_025214	1547580	
Tolypocladium cylindrosporum virus 1	NC_014823	939923	
Phomopsis vexans RNA virus	NC_026135	1580605	
Aspergillus foetidus slow virus 1	NC_038928	1087070	
Beauveria bassiana victorivirus NZL/1980	NC_024151	1485922	
Ustilaginoidea virens RNA virus 1	NC_020997	1312445	
Ustilaginoidea virens RNA virus 3	NC_023547	1460374	
Magnaporthe oryzae virus 1	NC_006367	271257	
Chalara elegans RNA Virus 1	NC_005883	267285	
Magnaporthe oryzae virus 3	NC_027209	1661396	
Penicillium digitatum virus 1	NC_029989	1833938	
Nigrospora oryzae victorivirus 1	NC_030224	1765736	
Sclerotinia nivalis victorivirus 1	NC_030392	1859161	
Fusarium poae victorivirus 1	NC_030867	1849535	
Helicobasidium mompa totivirus 1-17	NC_005074	196690	
Sphaeropsis sapinea RNA virus 1	NC_001963	73497	
Sphaeropsis sapinea RNA virus 2	NC_001964	73498	
Gremmeniella abietina RNA virus L1	NC_003876	152217	
Rosellinia necatrix quadrivirus 1	NC_016757,NC_016758,NC_016759,NC_016760	1000373	
Aedes camptorhynchus toti-like virus 1	NC_035131	2010266	
Spissistilus festinus virus 1	NC_014359	862943	
Circulifer tenellus virus 1	NC_014360	862944	
Persimmon latent virus	NC_023983	1211481	
Hubei toti-like virus 10	NC_032733	1923298	
Wenzhou toti-like virus 1	NC_032462	1923680	
Wuhan insect virus 31	NC_033467	1923735	
Penaeid shrimp infectious myonecrosis virus	NC_007915	282786	
Hubei diptera virus 22	NC_032902	1922883	
Wenling toti-like virus 2	NC_033012	1923549	
Giardia lamblia virus	NC_003555	29255	
Hubei toti-like virus 12	NC_032831	1923300	
Hubei toti-like virus 24	NC_032938	1923313	
Camponotus yamaokai virus	NC_027212	1608533	
Australian Anopheles totivirus	NC_035674	2026601	
Sogatella furcifera totivirus 1	NC_040633	2082585	
Sogatella furcifera totivirus 2	NC_040704	2082586	
Xingshan nematode virus 6	NC_033719	1923765	
Camponotus nipponicus virus	NC_029312	1765754	
Hubei toti-like virus 13	NC_032878	1923301	
Beihai uca arcuata virus 1	NC_032746	1922736	
Hubei toti-like virus 15	NC_032919	1923303	
Sanxia water strider virus 20	NC_032931	1923404	
Leptopilina boulardi Toti-like virus	NC_025218	1353795	
Hubei toti-like virus 19	NC_032424	1923307	
Hubei toti-like virus 18	NC_032948	1923306	
Hubei toti-like virus 20	NC_032806	1923309	
Shuangao toti-like virus	NC_032851	1923477	
Pythium polare RNA virus 1	NC_040608	2137353	
Piscine myocarditis-like virus	NC_029302	1798085	
Alternaria alternata virus 1	NC_010984,NC_010989,NC_010990,NC_010991	483537	
Aspergillus foetidus dsRNA mycovirus	NC_020100,NC_020101,NC_020102,NC_020103	1087068	
Cordyceps chanhua alternavirus 1	NC_079113,NC_079114,NC_079115	2936613	
Fusarium oxysporum alternavirus 1	NC_079109,NC_079110,NC_079111,NC_079112	2867550	
Fusarium graminearum alternavirus 1	NC_036596,NC_036601	2060778	
Eriocheir sinensis reovirus	NC_043180,NC_043181,NC_043182,NC_043183,NC_043184,NC_043185,NC_043186,NC_043187,NC_043188,NC_043189,NC_043190,NC_043191,NC_076522	273810	
Callinectes sapidus reovirus 1	NC_029904,NC_037581,NC_037582,NC_037583,NC_037584,NC_037585,NC_037586,NC_037587,NC_037588,NC_037589	1811230	
Micromonas pusilla reovirus	NC_008171,NC_008172,NC_008173,NC_008174,NC_008175,NC_008176,NC_008177,NC_008178,NC_008179,NC_008180,NC_008181	338781	
Corriparta virus	NC_038564,NC_038565,NC_038566,NC_038567,NC_038568,NC_038569,NC_038570,NC_038571,NC_038572,NC_038573	40053	
Equine encephalosis virus	NC_038574,NC_038575,NC_038576,NC_038577,NC_038578,NC_038579,NC_038580,NC_038581,NC_038582,NC_038583	201490	
Wallal virus	NC_022553,NC_022554,NC_022555,NC_022556,NC_022557,NC_022558,NC_022559,NC_022560,NC_022561,NC_022562	40061	
Bluetongue virus	NC_006007,NC_006008,NC_006010,NC_006013,NC_006014,NC_006015,NC_006022,NC_006023,NC_006024,NC_006025	40051	
Changuinola virus	NC_022633,NC_022634,NC_022635,NC_022636,NC_022637,NC_022638,NC_022639,NC_022640,NC_022641,NC_022642	40052	
Chenuda virus	NC_027534,NC_027535,NC_027536,NC_027537,NC_027538,NC_027548,NC_027549,NC_027550,NC_027551,NC_027552	40065	
Chobar Gorge virus	NC_027553,NC_027554,NC_027555,NC_027556,NC_027557,NC_027558,NC_027559,NC_027560,NC_027561,NC_027562	1679172	
Wongorr virus	NC_043192	47465	
Eubenangee virus	NC_038584,NC_038585,NC_038586,NC_038587,NC_038588,NC_038589,NC_038590,NC_038591,NC_038592,NC_038593	40056	
Peruvian horse sickness virus	NC_007748,NC_007749,NC_007750,NC_007751,NC_007752,NC_007753,NC_007754,NC_007755,NC_007756,NC_007757	356862	
Warrego virus	NC_038614,NC_038615,NC_038616,NC_038617,NC_038618,NC_038619,NC_038620,NC_038621,NC_038622,NC_038623	40062	
Lebombo virus	NC_038594,NC_038595,NC_038596,NC_038597,NC_038598,NC_038599,NC_038600,NC_038601,NC_038602,NC_038603	40057	
Great Island virus	NC_014522,NC_014523,NC_014524,NC_014525,NC_014526,NC_014527,NC_014528,NC_014529,NC_014530,NC_014531	204269	
Orungo virus	NC_038604,NC_038605,NC_038606,NC_038607,NC_038608,NC_038609,NC_038610,NC_038611,NC_038612,NC_038613	40058	
Palyam virus	NC_005986,NC_005987,NC_005988,NC_005989,NC_005990,NC_005991,NC_005992,NC_005993,NC_005994,NC_005995	40059	
Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	NC_013396,NC_013397,NC_013398,NC_013399,NC_013400,NC_013401,NC_013402,NC_013403,NC_013404,NC_013405	449133	
St Croix River virus	NC_005997,NC_005998,NC_005999,NC_006000,NC_006001,NC_006002,NC_006003,NC_006004,NC_006005,NC_006006	104581	
Umatilla virus	NC_024499,NC_024500,NC_024503,NC_024504,NC_024505,NC_024506,NC_024507,NC_024508,NC_024509,NC_024510	40060	
Wad Medani virus	NC_027533,NC_027539,NC_027540,NC_027541,NC_027542,NC_027543,NC_027544,NC_027545,NC_027546,NC_027547	40067	
Yunnan orbivirus	NC_007656,NC_007657,NC_007658,NC_007659,NC_007660,NC_007661,NC_007662,NC_007663,NC_007664,NC_007665	306276	
Fengkai orbivirus	NC_027803,NC_027804,NC_027805,NC_027806,NC_027807,NC_027811,NC_027812,NC_027813,NC_027814,NC_027815	1692107	
Rice dwarf virus [GN:T40204]	NC_003760,NC_003761,NC_003762,NC_003763,NC_003764,NC_003765,NC_003766,NC_003767,NC_003768,NC_003772,NC_003773,NC_003774	10991	
Rice gall dwarf virus	NC_009241,NC_009242,NC_009243,NC_009244,NC_009245,NC_009246,NC_009247,NC_009248,NC_009249,NC_009250,NC_009251,NC_009252	10986	
Wound tumor virus	NC_038944,NC_038945,NC_038946,NC_038947,NC_038948,NC_038949,NC_038950,NC_038951,NC_038952	10987	
Rotavirus A [GN:T40092]	NC_011500,NC_011501,NC_011502,NC_011503,NC_011504,NC_011505,NC_011506,NC_011507,NC_011508,NC_011509,NC_011510	28875	
Adult diarrheal rotavirus strain J19	NC_007548,NC_007549,NC_007550,NC_007551,NC_007552,NC_007553,NC_007554,NC_007555,NC_007556,NC_007557,NC_007558	335103	
Human rotavirus B [GN:T40123]	NC_021541,NC_021542,NC_021543,NC_021544,NC_021545,NC_021546,NC_021547,NC_021548,NC_021549,NC_021550,NC_021551	10942	
Rotavirus D chicken/05V0049/DEU/2005	NC_014511,NC_014512,NC_014513,NC_014514,NC_014515,NC_014516,NC_014517,NC_014518,NC_014519,NC_014520,NC_014521	884200	
Rotavirus G chicken/03V0567/DEU/2003	NC_021580,NC_021581,NC_021582,NC_021583,NC_021584,NC_021585,NC_021586,NC_021587,NC_021588,NC_021589,NC_021590	994995	
Rotavirus I	NC_026820,NC_026821,NC_026822,NC_026823,NC_026824,NC_026825,NC_026826,NC_026827,NC_026828,NC_026829,NC_026830	1637496	
Rotavirus J	NC_055263,NC_055264,NC_055265,NC_055266,NC_055267,NC_055268,NC_055269,NC_055270,NC_055271,NC_055272,NC_055273	1929964	
Rotavirus F chicken/03V0568/DEU/2003	NC_021625,NC_021626,NC_021627,NC_021628,NC_021629,NC_021630,NC_021631,NC_021632,NC_021633,NC_021634,NC_021635	994994	
Rotavirus C [GN:T40094]	NC_007543,NC_007544,NC_007545,NC_007546,NC_007547,NC_007569,NC_007570,NC_007571,NC_007572,NC_007573,NC_007574	36427	
Banna virus strain JKT-6423	NC_004198,NC_004200,NC_004201,NC_004202,NC_004203,NC_004204,NC_004211,NC_004217,NC_004218,NC_004219,NC_004220,NC_004221	649604	
Kadipiro virus	NC_004199,NC_004205,NC_004206,NC_004207,NC_004208,NC_004209,NC_004210,NC_004212,NC_004213,NC_004214,NC_004215,NC_004216	104580	
Liao ning virus	NC_007736,NC_007737,NC_007738,NC_007739,NC_007740,NC_007741,NC_007742,NC_007743,NC_007744,NC_007745,NC_007746,NC_007747	246280	
American grass carp reovirus	NC_010584,NC_010585,NC_010586,NC_010587,NC_010588,NC_010589,NC_010590,NC_010591,NC_010592,NC_010593,NC_010594	465447	
Green River chinook virus	NC_038624,NC_038625,NC_038626,NC_038627,NC_038628,NC_038629,NC_038630,NC_038631,NC_038632,NC_038633	1382300	
Chum salmon reovirus CS	NC_007582,NC_007583,NC_007584,NC_007585,NC_007588,NC_007589,NC_007590,NC_007591,NC_007592	173082	
Scophthalmus maximus reovirus	NC_038634,NC_038635,NC_038636,NC_038637,NC_038638,NC_038639,NC_038640,NC_038641,NC_038642,NC_038643,NC_038644	994485	
Colorado tick fever virus [GN:T40063]	NC_004180,NC_004181,NC_004182,NC_004183,NC_004184,NC_004185,NC_004186,NC_004187,NC_004188,NC_004189,NC_004190,NC_004191	46839	
Eyach virus	NC_003696,NC_003697,NC_003698,NC_003699,NC_003700,NC_003701,NC_003702,NC_003703,NC_003704,NC_003705,NC_003706,NC_003707	62352	
Kundal virus	NC_055239,NC_055240,NC_055241,NC_055242,NC_055243,NC_055244,NC_055245,NC_055246,NC_055247,NC_055248,NC_055249,NC_055250	2290890	
Tai Forest reovirus	NC_078006,NC_078007,NC_078008,NC_078009,NC_078010,NC_078011,NC_078012,NC_078013,NC_078014,NC_078015	2039230	
Tarumizu tick virus	NC_055251,NC_055252,NC_055253,NC_055254,NC_055255,NC_055256,NC_055257,NC_055258,NC_055259,NC_055260,NC_055261,NC_055262	2014339	
Cypovirus 1	NC_003016,NC_003017,NC_003018,NC_003019,NC_003020,NC_003021,NC_003022,NC_003023,NC_003024,NC_003025	205895	
Cypovirus 5	NC_010661,NC_010662,NC_010663,NC_010664,NC_010665,NC_010666,NC_010667,NC_010668,NC_010669,NC_010670	205899	
Choristoneura occidentalis cypovirus 16	NC_038645,NC_038646,NC_038647,NC_038648,NC_038649,NC_038650,NC_038651,NC_038652	480410	
Inachis io cypovirus 2	NC_023486,NC_023487,NC_023488,NC_023489,NC_023490,NC_023491,NC_023492,NC_023493,NC_023494,NC_023495	1382295	
Cypovirus 14	NC_003006,NC_003007,NC_003008,NC_003009,NC_003010,NC_003011,NC_003012,NC_003013,NC_003014,NC_003015	205908	
Trichoplusia ni cypovirus 15	NC_002565	134606	
Rice black streaked dwarf virus [GN:T40175]	NC_003728,NC_003729,NC_003730,NC_003731,NC_003732,NC_003733,NC_003734,NC_003735,NC_003736,NC_003737	10990	
Oat sterile dwarf virus	NC_038653,NC_038654,NC_038655,NC_038656	73147	
Southern rice black-streaked dwarf virus	NC_014708,NC_014709,NC_014710,NC_014711,NC_014712,NC_014713,NC_014714,NC_014715,NC_014716,NC_014717	519497	
Mal de Rio Cuarto virus	NC_008728,NC_008729,NC_008730,NC_008731,NC_008732,NC_008733,NC_008734,NC_008735,NC_008736,NC_008737	185954	
Fiji disease virus	NC_007154,NC_007155,NC_007156,NC_007157,NC_007158,NC_007159,NC_007160,NC_007161,NC_007162,NC_007163	77698	
Nilaparvata lugens reovirus	NC_003652,NC_003653,NC_003654,NC_003655,NC_003656,NC_003657,NC_003658,NC_003659,NC_003660,NC_003661	33724	
Maize rough dwarf virus	NC_028465,NC_037570,NC_037571,NC_037572,NC_037573,NC_037574,NC_037575,NC_037576,NC_037577,NC_037578,NC_077721,NC_077722,NC_077723,NC_077724,NC_077725,NC_077726,NC_077727,NC_077728,NC_077729,NC_077730	10989	
Diadromus pulchellus idnoreovirus 1	NC_043367,NC_043368,NC_043369,NC_043370,NC_043371,NC_043372,NC_043373	37368	
Mycoreovirus 1	NC_010743,NC_010744,NC_010745,NC_010746,NC_010747,NC_010748,NC_010749,NC_010750,NC_010751,NC_010752,NC_010753	311228	
Cryphonectria parasitica mycoreovirus 2 (C18)	NC_038657	404238	
Mycoreovirus 3	NC_007524,NC_007525,NC_007526,NC_007527,NC_007528,NC_007529,NC_007531,NC_007532,NC_007533,NC_007534,NC_007535,NC_007536	311229	
Avian orthoreovirus	NC_015126,NC_015127,NC_015128,NC_015129,NC_015130,NC_015131,NC_015132,NC_015133,NC_015134,NC_015135,NC_077751,NC_077752,NC_077753,NC_077754,NC_077755,NC_077756,NC_077757,NC_077758,NC_077759,NC_077760	38170	
Broome reovirus	NC_014236,NC_014237,NC_014238,NC_014239,NC_014240,NC_014241,NC_014242,NC_014243,NC_014244,NC_014245	667093	
